RACE_CATEGORY,LATIN,NON_US_CITIZEN,HH_AGE,MALE,GRAD_CATEGORY,MAR_CATEGORY,YNGKIDS,SENIORS,DISABLED,NUM_MEMBERS,INCOME,LN_INCOME,STAY_CATEGORY,HOUSE_AGE,UNIT_CATEGORY,NOGOODSCHOOL,NOGOODPTRNS,HIGH_PCRIME,HIGH_SCRIME,HIGH_RISK,RENT_CONTROL,HUD_CATEGORY,DIV4,COMPOSITE_HI2,INCOME_CATEGORY,WHITE,BLACK,ASIAN,OTHER_RACE,MARRIED,SEPARATED,NEVER_MARRIED,HUD_HOU,HUD_HCV,HUD_NON,ONE_FAMILY_HOUSE,APARTMENT,MOBILE_HOUSE,DIV4_1,DIV4_2,DIV4_3,DIV4_4,UNDSCHOOL,HIGHSCHOOL,COLLEGE,BACHELOR,MASTER,STAY_0_5,STAY_5_10,STAY_10_MORE
1,0,0,63.0,1,3,3,0,0,1,1,23000.0,10.043292972227004,3,41.0,2,0,1,0,0,1,0,3,1,0,2.0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
4,1,1,30.0,1,2,3,0,0,0,1,26000.0,10.165890277802454,2,51.0,2,0,0,0,0,0,0,3,1,1,2.0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
4,1,0,29.0,0,2,3,1,0,0,5,50000.0,10.819798284210286,1,101.0,1,0,0,0,0,0,0,2,2,0,2.0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1,0,0,58.0,1,4,3,0,0,1,1,15000.0,9.61587214452889,2,102.0,2,0,0,0,0,0,0,2,1,2,2.0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
1,0,0,80.0,0,3,2,0,1,0,1,14600.0,9.588845298501564,3,31.0,2,0,0,0,0,0,0,2,2,0,2.0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
2,0,0,70.0,0,5,3,0,1,0,2,21500.0,9.975854724662028,3,91.0,2,0,0,0,0,0,1,2,4,1,2.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
2,0,0,43.0,0,2,1,1,0,0,6,50000.0,10.819798284210286,1,61.0,2,1,0,0,1,0,0,3,1,0,2.0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
1,1,0,45.0,0,2,3,1,0,1,5,39500.0,10.584081267024454,3,51.0,2,1,1,1,1,1,0,1,1,2,2.0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
4,1,1,42.0,0,1,1,1,0,0,7,69000.0,11.141876276228,3,81.0,2,0,0,1,0,0,1,3,4,1,2.0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
1,0,0,71.0,1,2,2,0,1,1,1,24400.0,10.102379394048045,1,11.0,2,0,0,1,0,0,0,3,2,0,2.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
1,1,0,85.0,0,1,2,0,1,1,2,30000.0,10.308985993422082,3,101.0,2,1,0,0,0,0,0,3,1,0,2.0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
1,0,0,21.0,1,4,3,0,0,0,2,22500.0,10.021315031649332,1,71.0,2,0,0,1,0,0,0,3,4,2,2.0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
2,0,0,22.0,1,2,3,0,0,0,1,15000.0,9.61587214452889,3,71.0,2,0,0,1,1,0,0,3,1,2,2.0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
1,0,0,78.0,0,2,3,0,1,0,1,20400.0,9.923339198238729,3,21.0,2,0,0,0,0,0,0,2,1,0,2.0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
1,1,1,38.0,1,3,1,0,0,0,4,40000.0,10.596659732783579,3,41.0,2,0,0,1,1,0,0,3,4,0,2.0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
1,1,0,41.0,0,4,2,0,0,1,4,51400.0,10.847412906506923,1,41.0,2,0,1,0,0,0,0,3,4,1,2.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
1,1,0,46.0,1,2,3,0,0,0,1,25000.0,10.12667110305036,3,61.0,2,0,0,1,0,0,0,2,4,0,2.0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
1,1,0,72.0,0,2,2,0,1,0,3,22800.0,10.034559673629849,3,31.0,2,0,0,0,0,0,0,2,1,0,2.0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
1,0,0,29.0,0,2,3,1,0,0,3,27000.0,10.203629181337648,1,51.0,2,0,1,1,0,0,0,1,3,0,2.0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
1,0,0,71.0,0,2,2,0,1,0,1,15000.0,9.61587214452889,2,31.0,2,0,1,0,0,0,0,3,2,2,2.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
1,1,0,34.0,0,2,1,0,0,1,2,21500.0,9.975854724662028,1,102.0,1,1,0,0,1,0,0,3,2,3,2.0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
